11.95;0.00972
11.98;0.00974
12;0.00941
12.03;0.00873
12.05;0.00771
12.08;0.00634
12.1;0.0048
12.13;0.00308
12.15;0.00136
12.18;-0.00036
12.2;-0.00209
12.23;-0.00347
12.25;-0.00486
12.28;-0.0059
12.3;-0.00678
12.33;-0.00713
12.35;-0.00732
12.38;-0.00699
12.4;-0.00614
12.43;-0.00512
12.45;-0.00375
12.48;-0.00221
12.5;-0.00049
12.53;0.0014
12.55;0.00312
12.58;0.00486
12.6;0.00623
12.63;0.00763
12.65;0.0085
12.68;0.00902
12.7;0.00939
12.73;0.00923
12.75;0.00872
12.78;0.00805
12.8;0.00685
12.83;0.00548
12.85;0.00411
12.88;0.00239
12.9;0.00084
12.93;-0.00089
12.95;-0.00227
12.98;-0.00365
13;-0.00486
13.03;-0.00573
13.05;-0.00643
13.08;-0.00679
13.1;-0.00663
13.13;-0.0063
13.15;-0.00545
13.18;-0.00442
13.2;-0.00323
13.23;-0.00169
13.25;-0.00014
13.28;0.00158
13.3;0.00313
13.33;0.00468
13.35;0.00607
13.38;0.00711
13.4;0.00799
13.43;0.00834
13.45;0.00853
13.48;0.00837
13.5;0.00786
13.53;0.00701
13.55;0.00599
13.58;0.00479
13.6;0.00342
13.63;0.00187
13.65;0.00032
13.68;-0.00106
13.7;-0.00244
13.73;-0.00365
13.75;-0.0047
13.78;-0.00539
13.8;-0.00592
13.83;-0.00611
13.85;-0.00594
13.88;-0.00562
13.9;-0.00476
13.93;-0.00374
13.95;-0.00254
13.98;-0.00117
14;0.00038
14.03;0.00176
14.05;0.00314
14.08;0.00452
14.1;0.00574
14.13;0.0066
14.15;0.0073
14.18;0.00766
14.2;0.00767
14.23;0.00751
14.25;0.007
14.28;0.00614
14.3;0.0053
14.33;0.0041
14.35;0.00272
14.38;0.00135
14.4;-0.00004
14.43;-0.00124
14.45;-0.00244
14.48;-0.00367
14.5;-0.00435
14.53;-0.00506
14.55;-0.00541
14.58;-0.00542
14.6;-0.00527
14.63;-0.00458
14.65;-0.0039
14.68;-0.00288
14.7;-0.00167
14.73;-0.00048
14.75;0.0009
14.78;0.00228
14.8;0.00349
14.83;0.0047
14.85;0.00556
14.88;0.00644
14.9;0.00696
14.93;0.00732
14.95;0.00733
14.98;0.00699
15;0.00649
15.03;0.00563
15.05;0.00478
15.08;0.00358
15.1;0.00237
15.13;0.00118
15.15;-0.00021
15.18;-0.00142
15.2;-0.00245
15.23;-0.00349
15.25;-0.00419
15.28;-0.00472
15.3;-0.0049
15.33;-0.00491
15.35;-0.00457
15.38;-0.00407
15.4;-0.00321
15.43;-0.00236
15.45;-0.00116
15.48;0.00005
15.5;0.00125
15.53;0.00245
15.55;0.00367
15.58;0.0047
15.6;0.00557
15.63;0.00627
15.65;0.00661
15.68;0.00698
15.7;0.00681
15.73;0.00648
15.75;0.00597
15.78;0.00528
15.8;0.00443
15.83;0.0034
15.85;0.00237
15.88;0.00116
15.9;0.00014
15.93;-0.00108
15.95;-0.00194
15.98;-0.00281
16;-0.00334
16.02;-0.00369
16.05;-0.00387
16.08;-0.0037
16.1;-0.00337
16.12;-0.00286
16.15;-0.002
16.18;-0.00114
16.2;-0.0003
16.23;0.00091
16.25;0.00212
16.27;0.00298
16.3;0.00402
16.33;0.00488
16.35;0.00558
16.37;0.0061
16.4;0.00646
16.43;0.00646
16.45;0.00647
16.48;0.00613
16.5;0.00562
16.52;0.00494
16.55;0.00409
16.58;0.00305
16.6;0.00202
16.63;0.00099
16.65;-0.00005
16.68;-0.00091
16.7;-0.00177
16.73;-0.00247
16.75;-0.00299
16.77;-0.00335
16.8;-0.00335
16.83;-0.00319
16.85;-0.00286
16.87;-0.00217
16.9;-0.00149
16.93;-0.00063
16.95;0.00023
16.98;0.00126
17;0.0023
17.02;0.00316
17.05;0.00402
17.08;0.00489
17.1;0.0054
17.13;0.00593
17.15;0.00611
17.18;0.00611
17.2;0.00613
17.23;0.00579
17.25;0.00528
17.27;0.0046
17.3;0.00374
17.33;0.00288
17.35;0.00202
17.37;0.00099
17.4;-0.00005
17.43;-0.00091
17.45;-0.00161
17.48;-0.00212
17.5;-0.00265
17.52;-0.00283
17.55;-0.00284
17.58;-0.00267
17.6;-0.00234
17.62;-0.00165
17.65;-0.00097
17.68;-0.00028
17.7;0.00058
17.73;0.00144
17.75;0.0023
17.77;0.00316
17.8;0.00402
17.83;0.00472
17.85;0.00524
17.88;0.00559
17.9;0.00577
17.93;0.00577
17.95;0.00561
17.98;0.00527
18;0.00476
18.02;0.00408
18.05;0.00322
18.08;0.00236
18.1;0.0015
18.12;0.00064
18.15;-0.00023
18.18;-0.00091
18.2;-0.00161
18.23;-0.00213
18.25;-0.00248
18.27;-0.00267
18.3;-0.00249
18.33;-0.00234
18.35;-0.00183
18.38;-0.00114
18.4;-0.00045
18.43;0.00024
18.45;0.00092
18.48;0.00178
18.5;0.00265
18.52;0.00333
18.55;0.00403
18.58;0.00454
18.6;0.00507
18.62;0.00525
18.65;0.00543
18.68;0.00526
18.7;0.00509
18.73;0.00476
18.75;0.00425
18.77;0.00356
18.8;0.00288
18.83;0.00201
18.85;0.00133
18.87;0.00047
18.9;-0.0004
18.93;-0.00091
18.95;-0.00162
18.98;-0.00196
19;-0.00232
19.02;-0.00232
19.05;-0.00232
19.08;-0.00216
19.1;-0.00181
19.13;-0.00148
19.15;-0.00079
19.18;-0.00028
19.2;0.00058
19.23;0.00127
19.25;0.00196
19.27;0.00265
19.3;0.00334
19.33;0.00386
19.35;0.00439
19.37;0.00456
19.4;0.00474
19.43;0.00457
19.45;0.0044
19.48;0.00407
19.5;0.00355
19.52;0.00304
19.55;0.00235
19.58;0.00167
19.6;0.00098
19.63;0.00012
19.65;-0.00058
19.68;-0.00109
19.7;-0.00162
19.73;-0.00197
19.75;-0.00214
19.77;-0.00214
19.8;-0.00216
19.83;-0.00181
19.85;-0.00148
19.87;-0.00096
19.9;-0.00045
19.93;0.00024
19.95;0.00093
19.98;0.00161
20;0.00231
20.02;0.00282
20.05;0.00334
20.08;0.00386
20.1;0.00421
20.12;0.00439
20.15;0.00439
20.18;0.0044
20.2;0.00406
20.23;0.00372
20.25;0.00321
20.28;0.00252
20.3;0.00201
20.33;0.00132
20.35;0.00063
20.37;-0.00005
20.4;-0.00075
20.43;-0.00127
20.45;-0.00162
20.48;-0.00197
20.5;-0.00214
20.52;-0.00215
20.55;-0.00198
20.58;-0.00164
20.6;-0.0013
20.63;-0.00079
20.65;-0.00028
20.68;0.00041
20.7;0.0011
20.72;0.00179
20.75;0.00248
20.78;0.003
20.8;0.00351
20.83;0.00404
20.85;0.00439
20.88;0.00456
20.9;0.00456
20.93;0.00458
20.95;0.00423
20.98;0.0039
21;0.00338
21.03;0.00286
21.05;0.00235
21.08;0.00166
21.1;0.00115
21.12;0.00046
21.15;-0.00006
21.18;-0.00058
21.2;-0.00093
21.23;-0.00111
21.25;-0.00128
21.28;-0.00129
21.3;-0.00112
21.33;-0.00095
21.35;-0.00062
21.37;-0.0001
21.4;0.00042
21.43;0.00093
21.45;0.00161
21.48;0.00231
21.5;0.00282
21.53;0.00335
21.55;0.00369
21.58;0.00404
21.6;0.00439
21.62;0.00439
21.65;0.0044
21.68;0.00423
21.7;0.00407
21.73;0.00355
21.75;0.00304
21.78;0.00252
21.8;0.002
21.83;0.00149
21.85;0.0008
21.88;0.00028
21.9;-0.00023
21.93;-0.00076
21.95;-0.00111
21.97;-0.00128
22;-0.00128
22.03;-0.00129
22.05;-0.00112
22.08;-0.00095
22.1;-0.00062
22.13;-0.0001
22.15;0.00042
22.18;0.00093
22.2;0.00145
22.23;0.00196
22.25;0.00249
22.28;0.00283
22.3;0.00318
22.33;0.00353
22.35;0.0037
22.37;0.0037
22.4;0.00371
22.43;0.00354
22.45;0.00338
22.48;0.00286
22.5;0.00252
22.53;0.002
22.55;0.00149
22.58;0.00097
22.6;0.00046
22.62;-0.00007
22.65;-0.00041
22.68;-0.00076
22.7;-0.00093
22.73;-0.00111
22.75;-0.00111
22.78;-0.00112
22.8;-0.00095
22.83;-0.00061
22.85;-0.00027
22.87;0.00024
22.9;0.00076
22.93;0.00128
22.95;0.00179
22.98;0.00231
23;0.00283
23.03;0.00318
23.05;0.00352
23.08;0.00387
23.1;0.00405
23.13;0.00405
23.15;0.00388
23.18;0.00372
23.2;0.00337
23.22;0.00304
23.25;0.00251
23.28;0.00218
23.3;0.00166
23.33;0.00114
23.35;0.00062
23.38;0.00028
23.4;-0.00007
23.43;-0.00041
23.45;-0.00076
23.48;-0.00094
23.5;-0.00094
23.53;-0.00095
23.55;-0.00077
23.58;-0.00061
23.6;-0.00027
23.62;0.00024
23.65;0.00077
23.68;0.0011
23.7;0.00162
23.73;0.00214
23.75;0.00248
23.78;0.00301
23.8;0.00318
23.83;0.00353
23.85;0.00353
23.87;0.00354
23.9;0.00337
23.93;0.0032
23.95;0.00285
23.98;0.00268
24;0.00235
24.03;0.00182
24.05;0.00149
24.08;0.00097
24.1;0.00045
24.13;0.0001
24.15;-0.00024
24.18;-0.00059
24.2;-0.00077
24.23;-0.00077
24.25;-0.00077
24.28;-0.0006
24.3;-0.00043
24.33;-0.00027
24.35;0.00025
24.38;0.00059
24.4;0.00111
24.43;0.00145
24.45;0.00196
24.48;0.00249
24.5;0.00283
24.53;0.00318
24.55;0.00335
24.58;0.00353
24.6;0.0037
24.63;0.00371
24.65;0.00354
24.68;0.00337
24.7;0.00303
24.73;0.00268
24.75;0.00235
24.78;0.00182
24.8;0.00149
24.83;0.00097
24.85;0.00045
24.87;0.0001
24.9;-0.00025
24.93;-0.00042
24.95;-0.0006
24.98;-0.0006
25;-0.0006
25.03;-0.00043
25.05;-0.00026
